SrNo,ISO StateCode,Latitude,Longitude,StateName,countrycode,,
178,MIG,40.763947,47.059533,Mingeaevir,AZ,,
179,XIZ,40.905761,49.081268,Xaza,AZ,,
180,ABS,40.448085,49.755022,AbAyeron,AZ,,
181,SAD,39.722857,44.848458,Sederek,AZ,,
182,ZAN,39.088401,46.6513,Zengilan,AZ,,
183,AGA,41.114834,45.446825,Aaystafa,AZ,,
184,UCA,40.515671,47.654648,Ucar,AZ,,
185,GYG,40.585838,46.318897,Gaygal,AZ,,
186,XVD,39.795464,47.109891,Xocavend,AZ,,
187,XAC,41.464258,48.805652,Xaamaz,AZ,,
188,KAL,40.109842,46.04446,Kelbecer,AZ,,
189,YAR,38.907711,48.240521,Yardamla,AZ,,
190,DAS,40.523932,46.081863,DaAykesen,AZ,,
191,KUR,40.345318,48.150847,Kardemir,AZ,,
192,HAC,40.038743,48.942865,Hacaqabul,AZ,,
193,QAX,41.418259,46.92043,Qax,AZ,,
194,QAZ,41.09246,45.365608,Qazax,AZ,,
195,TAR,40.341794,46.932418,Terter,AZ,,
196,BIL,39.458333,48.545,Bilesuvar,AZ,,
197,AGM,40.82975,46.017804,Azemkir,AZ,,
198,QBI,39.344407,46.581834,Qubadla,AZ,,
199,QBA,41.361077,48.513411,Quba,AZ,,
200,QUS,41.427496,48.4302,Qusar,AZ,,
201,FUZ,39.60094,47.14529,Fazuli,AZ,,
202,CAB,39.399173,47.028345,Cebrayal,AZ,,
203,SAL,39.596214,48.984786,Salyan,AZ,,
204,XCI,39.912973,46.790284,Xocala,AZ,,
205,AST,38.455977,48.87498,Astara,AZ,,
206,AYA,40.646987,47.473803,AaydaAy,AZ,,
207,LER,38.773883,48.414969,Lerik,AZ,,
208,MAS,39.027781,48.670276,Masalla,AZ,,
209,BAL,39.775556,47.618611,Beyleqan,AZ,,
210,AGU,40.569167,48.396476,Aaysu,AZ,,
211,QOB,40.533601,48.928193,Qobustan,AZ,,
212,BAR,40.375768,47.126191,Berde,AZ,,
213,ORD,38.90961,46.022737,Ordubad,AZ,,
214,BAL,41.726258,46.40478,Balaken,AZ,,
215,ASM,40.784846,48.151409,Asmayalla,AZ,,
216,AZA,39.760057,46.749893,AzuAya,AZ,,
217,SMX,40.764854,46.408678,Samux,AZ,,
218,AGC,40.050146,47.459367,Aaycabedi,AZ,,
219,AGM,39.99096,46.927356,Aaydam,AZ,,
220,ABS,41.201166,48.987117,Azabran,AZ,,
221,AMA,39.872398,48.064928,AmiAyli,AZ,,
222,SAT,39.932137,48.368919,Saatla,AZ,,
223,NAX,39.208846,45.411887,Naxaavan,AZ,,
224,SIY,41.077538,49.112573,Siyezen,AZ,,
225,AZB,39.407222,45.573889,Azahbuz,AZ,,
226,CAL,39.209633,48.491862,Celilabad,AZ,,
227,SAB,40.008688,48.47701,Sabirabad,AZ,,
228,NEF,39.376798,49.246998,Neftaala,AZ,,
229,LAN,39.643401,46.546206,Laaan,AZ,,
230,NAF,40.508208,46.820302,Naftalan,AZ,,
231,ZAR,40.219906,47.709968,Zerdab,AZ,,
232,AZR,39.554358,44.982597,Azerur,AZ,,
233,KAN,39.399389,45.11513,Kengerli,AZ,,
234,SRP,44.778422,17.193865,Srpska Republika,BA,,
235,BRC,44.869951,18.810124,Brcko District,BA,,
236,SRP,44.778422,17.193865,"Srpska, Republika",BA,,
237,BRC,44.869951,18.810124,Brcko District,BA,,
238,BIH,44.9981,18.91023,Federation of Bosnia And Herzegovina,BA,,
239,BB-11,13.17932,-59.58787,Saint Thomas,BB,,
240,BB-10,13.1339,-59.46402,Saint Philip,BB,,
241,BB-09,13.26096,-59.61585,Saint Peter,BB,,
242,BB-08,13.12633,-59.59817,Saint Michael,BB,,
243,BB-07,13.30728,-59.61937,Saint Lucy,BB,,
244,BB-06,13.2056,-59.54418,Saint Joseph,BB,,
245,BB-05,13.17581,-59.50303,"Saint John
",BB,,
246,BB-04,13.21183,-59.61956,Saint James,BB,,
247,BB-03,13.13933,-59.54345,Saint George,BB,,
248,BB-02,13.23986,-59.5783,Saint Andrew,BB,,
249,BB-01,13.08734,-59.52418,Christ Church,BB,,
250,BD-H,24.72937,90.38109,Mymensingh Division,BD,,
251,BD-E,25,89,Rajshahi Division,BD,,
252,BD-C,23.83333,90.25,Dhaka Division,BD,,
253,BD-B,22.91667,91.25,Chittagong,BD,,
254,BD-D,22.91667,89.33333,Khulna Division,BD,,
255,BD-A,22.5,90.33333,Barisal Division,BD,,
256,BD-G,24.66667,91.6667,Sylhet Division,BD,,
257,BD-F,25.83333,89,Rangpur Division,BD,,
258,BRU,50.833333,4.333333,Brussels-Capital Region,BE,,
259,WAL,50.469923,4.82577,Wallonia,BE,,
260,VLG,,,Flanders,BE,,
261,BF-09,11.177154,-4.297901,Hauts-Bassins,BF,,
262,BF-06,12.252632,-2.36272,Centre-Ouest,BF,,
263,BF-10,13.582782,-2.421582,Nord,BF,,
264,BF-02,10.633333,-4.766667,Cascades,BF,,
265,BF-01,12.463378,-3.460746,Boucle du Mouhoun,BF,,
266,BF-05,13.091667,-1.084444,Centre-Nord,BF,,
267,BF-04,11.78,-0.369722,Centre-Est,BF,,
268,BF-08,12.061567,0.358433,Est,BF,,
269,BF-07,11.663611,-1.073056,Centre-Sud,BF,,
270,BF-11,12.581862,-1.297104,Plateau-Central,BF,,
271,BF-13,10.299167,-3.250833,Sud-Ouest,BF,,
272,BG-16,42.15,24.75,Plovdiv,BG,,
273,BG-03,43.216667,27.916667,Varna,BG,,
274,BG-02,42.506058,27.46781,Burgas,BG,,
275,BG-18,43.856389,25.970833,Ruse,BG,,
276,BG-24,42.432778,25.641944,Stara Zagora,BG,,
277,BG-15,43.416667,24.616667,Pleven,BG,,
278,BG-20,42.685833,26.329167,Sliven,BG,,
279,BG-08,43.566667,27.833333,Dobrich,BG,,
280,BG-27,43.276667,26.929167,Shumen,BG,,
281,BG-14,42.6,23.033333,Pernik,BG,,
282,BG-26,41.940278,25.569444,Haskovo,BG,,
283,BG-06,43.21,23.5625,Vratsa,BG,,
284,BG-10,42.283889,22.691111,Kyustendil,BG,,
285,BG-12,43.4125,23.225,Montana,BG,,
286,BG-11,43.133333,24.716667,Lovech,BG,,
287,BG-17,43.533333,26.516667,Razgrad,BG,,
288,BG-13,42.2,24.333333,Pazardzhik,BG,,
289,BG-21,41.585278,24.691944,Smolyan,BG,,
290,BG-01,42.016667,23.1,Blagoevgrad,BG,,
291,BG-04,43.085833,25.655556,Veliko Tarnovo,BG,,
292,BG-05,43.99,22.8725,Vidin,BG,,
293,BG-19,44.116667,27.266667,Silistra,BG,,
294,BG-28,42.483333,26.5,Yambol,BG,,
295,BG-09,41.65,25.366667,Kardzhali,BG,,
296,BG-07,42.874722,25.334167,Gabrovo,BG,,
297,BG-25,43.259167,26.589167,Targovishte,BG,,
298,BH-15,26.25,50.61667,Muharraq Governorate,BH,,
299,BH-13,26.21667,50.58333,Capital Governorate,BH,,
300,BH-14,25.86667,50.58333,Southern Governorate,BH,,
301,BH-17,26.15,50.46667,Northern Governorate,BH,,
302,RY,-3.476389,30.248611,Ruyigi,BI,,
303,GI,-3.4264,29.9308,Gitega,BI,,
304,NG,-2.9075,29.8306,Ngozi,BI,,
305,MA,-4.1348,29.804,Makamba,BI,,
306,KR,-3.101389,30.162778,Karuzi,BI,,
307,KI,-2.5845,30.0959,Kirundo,BI,,
308,MW,-3.5113,29.7051,Mwaro,BI,,
309,RT,-3.9279,29.992,Rutana,BI,,
310,BR,-3.9461,29.6197,Bururi,BI,,
311,CA,-3.2186,30.5528,Cankuzo,BI,,
312,BB,-3.0804,29.391,Bubanza,BI,,
313,KY,-2.9221,29.6293,Kayanza,BI,,
314,RM,-3.9736,29.4386,Rumonge,BI,,
315,MY,-2.8451,30.3414,Muyinga,BI,,
316,BL,-3.3489,29.4839,Bujumbura Rural,BI,,
317,CI,-2.8869,29.1248,Cibitoke,BI,,
318,MU,-3.2682,29.6079,Muramvya,BI,,
319,OU,6.61667,2.51667,Département de l’Ouémé,BJ,,
320,MO,6.58333,1.83333,Mono,BJ,,
321,BO,9.75,2.75,Borgou Department,BJ,,
322,AQ,6.66667,2.25,Atlantique Department,BJ,,
323,AK,10.75,1.66667,Atakora Department,BJ,,
324,AL,11.33333,2.91667,Alibori,BJ,,
325,CO,8,2.16667,Collines Department,BJ,,
